待处理接口url(根据6月数据统计),紧急程度,接口功能,解决方案,优化前,优化后,解决人,sql
http://api.ethercap.com/index.php/a/project/addCC,,,,9,,,
http://api.ethercap.com/index.php/s/app/getPatches,,,,8,,,
http://api.ethercap.com/index.php/a/im_message/getGroupList,,,,8,,,
http://api.ethercap.com/index.php/a/im_message/getNewMessages,,,,7,,,
http://api.ethercap.com/index.php/s/project/shareProject/,,,,6,,,
http://api.ethercap.com/index.php/a/project/getList/SEARCH/,,,,6,,,
http://api.ethercap.com/index.php/s/message/unreadMessageCountAfter,,,,5,,,
http://api.ethercap.com/index.php/s/project/submitProjectFeedback,,,,5,,,
http://api.ethercap.com/index.php/s/meeting/remindFeedbackLater/,,,,5,,,
http://api.ethercap.com/index.php/s/project/getAgentInfo/,,,,4,,,
http://api.ethercap.com/index.php/s/find/updateInvestorRssLabels,,,,4,,,
http://api.ethercap.com/index.php/s/app/launchScreen/1080/,,,,3,,,
http://api.ethercap.com/index.php/s/im_message/getGroupHistoryMessages/,,,,3,,,
http://api.ethercap.com/index.php/s/message/readMessageBatch,,,,3,,,
http://api.ethercap.com/index.php/a/user/sync,,,,3,,,
http://api.ethercap.com/index.php/s/app/launchScreen/720/,,,,3,,,
http://api.ethercap.com/index.php/s/user/getLicenseUrl,,,,3,,,
http://api.ethercap.com/index.php/s/meeting/onlineMeetingsOfFounder,,,,2,,,
http://api.ethercap.com/index.php/s/app/launchScreen/414.0/736.,,,,2,,,
http://api.ethercap.com/index.php/a/webview/getJsSwitch,,,,2,,,
http://api.ethercap.com/index.php/s/user/sendColdcall,,,,2,,,
http://api.ethercap.com/index.php/s/im_message/addGroup/26483/,,,,2,,,
http://api.ethercap.com/index.php/s/user/protocolAgreed,,,,2,,,
http://api.ethercap.com/index.php/s/meeting/syncNotEndedMeetingFounder,,,,2,,,
http://api.ethercap.com/index.php/s/im_message/addGroup/26667/,,,,1,,,
http://api.ethercap.com/index.php/s/app/launchScreen/1440/,,,,1,,,
http://api.ethercap.com/index.php/s/app/launchScreen/320.0/568.,,,,1,,,
http://api.ethercap.com/index.php/s/user/coldcallUsed,,,,1,,,
http://api.ethercap.com/index.php/s/im_message/addGroup/24904/,,,,1,,,
http://api.ethercap.com/index.php/s/im_message/groupInfos,,,,1,,,
http://api.ethercap.com/index.php/s/app/launchScreen/375.0/667.,,,,1,,,
http://api.ethercap.com/index.php/s/user/getReviewInfo,,,,1,,,
http://api.ethercap.com/index.php/s/project/projectDetailFounder/,,,,1,,,
http://api.ethercap.com/index.php/s/project/investorIgnore/,,,,1,,,
http://api.ethercap.com/index.php/s/project/getRssProjects/,,,,1,,,
